pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,pmid,title,journal,year,study_type,article_score,surrogate_signal,sample_snippet,doi
acarbose_nad_nadh_ratio,Acarbose,postprandial glucose modulation,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,32467649,The quest to slow ageing through drug discovery.,Nature reviews. Drug discovery,2020,review,0.55,0.63,"The quest to slow ageing through drug discovery.. Although death is inevitable, individuals have long sought to alter the course of the ageing process. Indeed, ageing has proved to be modifiable; by intervening in biolog",10.1038/s41573-020-0067-7
acarbose_hba1c,Acarbose,postprandial glucose modulation,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,10400405,Rosiglitazone.,Drugs,1999,review,0.45,0.82,"own by decreases in fasting plasma glucose and glycosylated haemoglobin (HbA1c). Addition of rosiglitazone 2 to 8 mg/day to existing sulphonylurea, metformin or insulin therapy achieved fu",10.2165/00003495-199957060-00007
acarbose_fasting_glucose,Acarbose,postprandial glucose modulation,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,10400405,Rosiglitazone.,Drugs,1999,review,0.45,0.82,"Rosiglitazone.. Rosiglitazone, a thiazolidinedione antidiabetic agent, improves insulin resistance, a key underlying metabolic abnormality in most patients with type 2 (non-insulin-dependent) diabetes mellitus. In animal",10.2165/00003495-199957060-00007
acarbose_mcp_1,Acarbose,postprandial glucose modulation,MCP-1,inflammation,chemokine signaling,inflammaging,intervention_to_surrogate,37960259,"Pentadecanoic Acid (C15:0), an Essential Fatty Acid, Shares Clinically Relevant Cell-Based Activities with Leading Longevity-Enhancing Compounds.",Nutrients,2023,preclinical,0.65,0.8,"ities across 10 cell systems, including anti-inflammatory (e.g., lowered MCP-1, TNFα, IL-10, IL-17A/F), antifibrotic, and anticancer activities, which are further supported by previously p",10.3390/nu15214607
acarbose_homa_ir,Acarbose,postprandial glucose modulation,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,38972164,Effectiveness of dual combination therapy of acarbose plus metformin and acarbose plus myo-inositol in ameliorating the metabolic and endocrinologic complications of polycystic ovary syndrome - A randomized controlled trial.,"European journal of obstetrics, gynecology, and reproductive biology",2024,randomized_trial,0.75,0.92,"the end of 6 months. RESULTS: Significant reduction of LH, LH: FSH, TT, HOMA-IR was observed in all the groups. FSH increased only in metformin group. Increase in serum progesterone and red",10.1016/j.ejogrb.2024.07.001
acarbose_sasp_panel,Acarbose,postprandial glucose modulation,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,41344575,Progress in anti-ageing drug research for age-related diseases: A review.,Ageing research reviews,2026,review,0.65,0.85,"Progress in anti-ageing drug research for age-related diseases: A review.. This review explores the anti-ageing potential of nine repurposed drugs: aspirin, atorvastatin, enalapril, metformin, canagliflozin, liraglutide,",10.1016/j.arr.2025.102982
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,32686219,Senolytic drugs: from discovery to translation.,Journal of internal medicine,2020,review,0.55,0.75,"Senolytic drugs: from discovery to translation.. Senolytics are a class of drugs that selectively clear senescent cells (SC). The first senolytic drugs Dasatinib, Quercetin, Fisetin and Navitoclax were discovered using a",10.1111/joim.13141
dasatinib_quercetin_il6,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,36351875,The impact of senescence on muscle wasting in chronic kidney disease.,"Journal of cachexia, sarcopenia and muscle",2023,preclinical,0.35,0.75,The impact of senescence on muscle wasting in chronic kidney disease.. BACKGROUND: Muscle wasting is a common complication of chronic kidney disease (CKD) that is associated with higher mortality. Although the mechanisms,10.1002/jcsm.13112
dasatinib_quercetin_p16ink4a_expression,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,36351875,The impact of senescence on muscle wasting in chronic kidney disease.,"Journal of cachexia, sarcopenia and muscle",2023,preclinical,0.35,0.8,The impact of senescence on muscle wasting in chronic kidney disease.. BACKGROUND: Muscle wasting is a common complication of chronic kidney disease (CKD) that is associated with higher mortality. Although the mechanisms,10.1002/jcsm.13112
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,36351875,The impact of senescence on muscle wasting in chronic kidney disease.,"Journal of cachexia, sarcopenia and muscle",2023,preclinical,0.35,0.8,The impact of senescence on muscle wasting in chronic kidney disease.. BACKGROUND: Muscle wasting is a common complication of chronic kidney disease (CKD) that is associated with higher mortality. Although the mechanisms,10.1002/jcsm.13112
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,32367049,FBP1 loss disrupts liver metabolism and promotes tumorigenesis through a hepatic stellate cell senescence secretome.,Nature cell biology,2020,preclinical,0.4,0.7,"FBP1 loss disrupts liver metabolism and promotes tumorigenesis through a hepatic stellate cell senescence secretome.. The crosstalk between deregulated hepatocyte metabolism and cells within the tumour microenvironment,",10.1038/s41556-020-0511-2
