pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,evidence_score,surrogate_confidence,literature_support,article_count,supporting_pmids,sample_titles,sample_snippet
metformin_hba1c,Metformin,AMPK activation and glucose homeostasis,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.88,0.86,0.82,4,100001;100003;100004;100005,Metformin intervention improves HbA1c and CRP in older adults | Metformin lowers HbA1c in insulin resistant adults,Metformin-related studies consistently use HbA1c as a medium-term surrogate of metabolic response.
metformin_fasting_insulin,Metformin,AMPK activation and glucose homeostasis,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,0.81,0.79,0.74,3,100006;100007;100008,Metformin improves fasting insulin sensitivity | Metformin trial in older adults reports fasting insulin,Surrogate reflects insulin sensitivity shifts that respond within months.
metformin_crp,Metformin,AMPK activation and glucose homeostasis,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.73,0.62,0.68,2,100001;100009,Metformin intervention improves HbA1c and CRP in older adults | Metformin lowers inflammatory biomarker burden,Inflammatory burden can track systemic response to metabolic interventions.
rapamycin_il6,Rapamycin,mTOR inhibition and autophagy,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,0.79,0.66,0.71,3,100002;100010;100011,Rapamycin lowers IL-6 in aging biomarker study | Rapamycin modulates inflammatory cytokines,IL6 is a plausible inflammation-linked surrogate for mTOR-targeting interventions.
rapamycin_epigenetic_clock,Rapamycin,mTOR inhibition and autophagy,epigenetic clock,epigenetic aging,aging clocks,genomic instability,intervention_to_surrogate,0.69,0.77,0.55,1,100012,Rapamycin and biological age clock trajectories,System-level aging clocks may capture slower response to rapamycin.
exercise_vo2_max,Exercise,mitochondrial adaptation and systemic resilience,VO2 max,functional,mitochondrial adaptation,mitochondrial dysfunction,intervention_to_surrogate,0.91,0.81,0.87,5,100013;100014;100015;100016;100017,Exercise training improves VO2 max in older adults | Exercise intervention raises aerobic capacity,VO2 max is a high-signal functional surrogate for training response.
exercise_crp,Exercise,mitochondrial adaptation and systemic resilience,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.74,0.60,0.70,3,100018;100019;100020,Exercise lowers CRP in older adults | Training reduces inflammatory biomarkers,CRP tracks systemic inflammation changes during lifestyle intervention.
caloric_restriction_igf_1,Caloric restriction,nutrient sensing modulation,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,0.84,0.73,0.77,4,100021;100022;100023;100024,Caloric restriction alters IGF-1 signaling | Energy restriction and IGF-1 adaptation,IGF-1 is directly tied to nutrient sensing biology.
caloric_restriction_homa_ir,Caloric restriction,nutrient sensing modulation,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,0.82,0.76,0.74,3,100025;100026;100027,Caloric restriction improves insulin resistance metrics | HOMA-IR shifts under calorie restriction,HOMA-IR is a pragmatic trial surrogate for metabolic improvement.
senolytic_therapy_p16ink4a_expression,Senolytic therapy,senescent cell clearance,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,0.86,0.83,0.69,2,100028;100029,Senolytic therapy reduces p16INK4a burden | Senescence marker dynamics after intervention,p16INK4a is tightly aligned to the senescence mechanism.
senolytic_therapy_sasp_panel,Senolytic therapy,senescent cell clearance,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.83,0.78,0.72,3,100030;100031;100032,Senolytic therapy modulates SASP factors | Secretory phenotype changes in senescence-targeted trials,SASP markers reflect the intended mechanism of senolytic interventions.
nad_booster_nad_nadh_ratio,NAD+ booster,NAD salvage and mitochondrial energetics,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.77,0.69,0.66,2,100033;100034,NAD precursor raises NAD ratio in adults | Redox balance after NAD boosting,This surrogate is mechanistically close to the intervention target.
omega_3_supplementation_crp,Omega-3 supplementation,inflammation resolution,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.78,0.64,0.73,4,100035;100036;100037;100038,Omega-3 lowers CRP in low-grade inflammation | Fish oil intervention reduces inflammatory markers,CRP is a practical inflammation surrogate with frequent trial use.
sleep_optimization_hrv,Sleep optimization,circadian alignment and recovery,HRV,functional,autonomic recovery,altered intercellular communication,intervention_to_surrogate,0.75,0.67,0.61,2,100039;100040,Sleep extension improves HRV recovery | Sleep quality intervention and autonomic function,HRV offers a non-invasive surrogate for recovery and resilience.
