intervention_id,intervention,split,mechanism_hint,top_surrogates,surrogate_categories,pathways,hallmarks,similar_interventions,pair_count,embedding_text
acarbose,Acarbose,train,postprandial glucose modulation,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides,metabolic|inflammation,glucose metabolism|insulin signaling|lipid metabolism|inflammation signaling,deregulated nutrient sensing|inflammaging,Metformin|Semaglutide|Empagliflozin,6,"Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Top surrogate biomarkers: HbA1c, fasting glucose, fasting insulin, HOMA-IR, triglycerides. Biomarker categories: metabolic, inflammation. Pathways: glucose metabolism, insulin signaling, lipid metabolism, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Metformin, Semaglutide, Empagliflozin."
dasatinib_quercetin,Dasatinib + Quercetin,test,senolytic combination targeting senescent cell survival pathways,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,senescence|inflammation|stress response,secretory phenotype|cell cycle arrest|cytokine signaling|integrated stress response,cellular senescence|inflammaging,Fisetin|Rapamycin|Spermidine,6,"Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Fisetin, Rapamycin, Spermidine."
empagliflozin,Empagliflozin,train,SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage,metabolic|cardiovascular|body composition|inflammation,glucose metabolism|cardiac stress|insulin signaling|energy balance,deregulated nutrient sensing|altered intercellular communication|inflammaging,Metformin|Semaglutide|Acarbose,6,"Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Top surrogate biomarkers: HbA1c, fasting glucose, NT-proBNP, fasting insulin, body fat percentage. Biomarker categories: metabolic, cardiovascular, body composition, inflammation. Pathways: glucose metabolism, cardiac stress, insulin signaling, energy balance. Aging hallmarks: deregulated nutrient sensing, altered intercellular communication, inflammaging. Similar interventions: Metformin, Semaglutide, Acarbose."
fisetin,Fisetin,train,senolytic flavonoid with anti-inflammatory and stress-response effects,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,senescence|inflammation|stress response,secretory phenotype|cell cycle arrest|cytokine signaling|integrated stress response,cellular senescence|inflammaging,Dasatinib + Quercetin|Resveratrol|Spermidine,5,"Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Dasatinib + Quercetin, Resveratrol, Spermidine."
liraglutide,Liraglutide,train,GLP-1 receptor agonism and metabolic regulation,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides,metabolic|body composition|inflammation,glucose metabolism|energy balance|insulin signaling|lipid metabolism,deregulated nutrient sensing|inflammaging,Semaglutide|Metformin|Empagliflozin,6,"Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Top surrogate biomarkers: HbA1c, fasting glucose, body fat percentage, fasting insulin, triglycerides. Biomarker categories: metabolic, body composition, inflammation. Pathways: glucose metabolism, energy balance, insulin signaling, lipid metabolism. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Semaglutide, Metformin, Empagliflozin."
metformin,Metformin,train,AMPK activation and glucose homeostasis,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP,metabolic|stress response|inflammation,glucose metabolism|insulin signaling|integrated stress response|inflammation signaling,deregulated nutrient sensing|cellular senescence|inflammaging,Acarbose|Semaglutide|Empagliflozin,6,"Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Top surrogate biomarkers: HbA1c, fasting insulin, HOMA-IR, GDF15, CRP. Biomarker categories: metabolic, stress response, inflammation. Pathways: glucose metabolism, insulin signaling, integrated stress response, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, cellular senescence, inflammaging. Similar interventions: Acarbose, Semaglutide, Empagliflozin."
nmn,NMN,val,NAD+ precursor supporting redox balance and metabolic resilience,NAD+ NADH ratio|ATP production|mtDNA copy number|epigenetic clock|fasting insulin,mitochondrial|epigenetic aging|metabolic|inflammation,redox balance|bioenergetics|mitochondrial maintenance|aging clocks,mitochondrial dysfunction|genomic instability|deregulated nutrient sensing|inflammaging,Nicotinamide Riboside|Metformin|Spermidine,6,"Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, epigenetic clock, fasting insulin. Biomarker categories: mitochondrial, epigenetic aging, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, aging clocks. Aging hallmarks: mitochondrial dysfunction, genomic instability, deregulated nutrient sensing, inflammaging. Similar interventions: Nicotinamide Riboside, Metformin, Spermidine."
nicotinamide_riboside,Nicotinamide Riboside,train,NAD+ precursor supporting mitochondrial energetics,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP,mitochondrial|metabolic|inflammation,redox balance|bioenergetics|mitochondrial maintenance|insulin signaling,mitochondrial dysfunction|deregulated nutrient sensing|inflammaging,NMN|Metformin|Spermidine,6,"Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, fasting insulin, CRP. Biomarker categories: mitochondrial, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, insulin signaling. Aging hallmarks: mitochondrial dysfunction, deregulated nutrient sensing, inflammaging. Similar interventions: NMN, Metformin, Spermidine."
rapamycin,Rapamycin,val,mTOR inhibition and autophagy,IL6|CRP|epigenetic clock|IGF-1|fasting insulin,inflammation|epigenetic aging|growth signaling|metabolic,cytokine signaling|inflammation signaling|aging clocks|insulin IGF signaling,inflammaging|genomic instability|deregulated nutrient sensing|cellular senescence,Spermidine|Metformin|NMN,6,"Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Top surrogate biomarkers: IL6, CRP, epigenetic clock, IGF-1, fasting insulin. Biomarker categories: inflammation, epigenetic aging, growth signaling, metabolic. Pathways: cytokine signaling, inflammation signaling, aging clocks, insulin IGF signaling. Aging hallmarks: inflammaging, genomic instability, deregulated nutrient sensing, cellular senescence. Similar interventions: Spermidine, Metformin, NMN."
resveratrol,Resveratrol,train,stress-response signaling and metabolic modulation,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose,inflammation|metabolic,inflammation signaling|cytokine signaling|insulin signaling|glucose metabolism,inflammaging|deregulated nutrient sensing,Fisetin|Metformin|Spermidine,6,"Drug intervention: Resveratrol. Mechanism: stress-response signaling and metabolic modulation. Top surrogate biomarkers: CRP, IL6, HOMA-IR, TNF-alpha, fasting glucose. Biomarker categories: inflammation, metabolic. Pathways: inflammation signaling, cytokine signaling, insulin signaling, glucose metabolism. Aging hallmarks: inflammaging, deregulated nutrient sensing. Similar interventions: Fisetin, Metformin, Spermidine."
semaglutide,Semaglutide,test,GLP-1 receptor agonism and satiety signaling,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides,metabolic|body composition,glucose metabolism|energy balance|insulin signaling|lipid metabolism,deregulated nutrient sensing,Liraglutide|Metformin|Empagliflozin,6,"Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Top surrogate biomarkers: HbA1c, fasting glucose, body fat percentage, fasting insulin, triglycerides. Biomarker categories: metabolic, body composition. Pathways: glucose metabolism, energy balance, insulin signaling, lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Similar interventions: Liraglutide, Metformin, Empagliflozin."
spermidine,Spermidine,train,autophagy induction and cellular maintenance,epigenetic clock|CRP|IL6|mtDNA copy number|GDF15,epigenetic aging|inflammation|mitochondrial|stress response,aging clocks|inflammation signaling|cytokine signaling|mitochondrial maintenance,genomic instability|inflammaging|mitochondrial dysfunction|cellular senescence,Rapamycin|NMN|Resveratrol,5,"Drug intervention: Spermidine. Mechanism: autophagy induction and cellular maintenance. Top surrogate biomarkers: epigenetic clock, CRP, IL6, mtDNA copy number, GDF15. Biomarker categories: epigenetic aging, inflammation, mitochondrial, stress response. Pathways: aging clocks, inflammation signaling, cytokine signaling, mitochondrial maintenance. Aging hallmarks: genomic instability, inflammaging, mitochondrial dysfunction, cellular senescence. Similar interventions: Rapamycin, NMN, Resveratrol."
