surrogate_id,surrogate,surrogate_category,pathways,hallmarks,linked_interventions,source_pair_count,mean_evidence_score,mean_surrogate_confidence,embedding_text
atp_production,ATP production,mitochondrial,bioenergetics,mitochondrial dysfunction,Nicotinamide Riboside|NMN,2,0.795,0.685,"Surrogate biomarker: ATP production. Category: mitochondrial. Pathways: bioenergetics. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN."
crp,CRP,inflammation,inflammation signaling,inflammaging,Rapamycin|Metformin|Resveratrol|Liraglutide|Spermidine|Empagliflozin|Dasatinib + Quercetin|Acarbose,10,0.706,0.605,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose."
gdf15,GDF15,stress response,integrated stress response,cellular senescence,Metformin|Dasatinib + Quercetin|Fisetin|Rapamycin|Spermidine,5,0.712,0.632,"Surrogate biomarker: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Observed across interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine."
homa_ir,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,Metformin|Acarbose|Resveratrol,3,0.777,0.737,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol."
hba1c,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,Semaglutide|Metformin|Liraglutide|Empagliflozin|Acarbose,5,0.88,0.86,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose."
igf_1,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,Rapamycin,1,0.74,0.68,Surrogate biomarker: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Rapamycin.
il6,IL6,inflammation,cytokine signaling,inflammaging,Rapamycin|Dasatinib + Quercetin|Fisetin|Metformin|Resveratrol|Spermidine|Nicotinamide Riboside,7,0.734,0.637,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside."
ldl_c,LDL-C,metabolic,lipid metabolism,deregulated nutrient sensing,Semaglutide,1,0.73,0.63,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.
nad_nadh_ratio,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,Nicotinamide Riboside|NMN,2,0.885,0.805,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN."
nt_probnp,NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,Empagliflozin,1,0.8,0.73,Surrogate biomarker: NT-proBNP. Category: cardiovascular. Pathways: cardiac stress. Aging hallmarks: altered intercellular communication. Observed across interventions: Empagliflozin.
