doc_id,doc_type,title,text,split,source_id,ranking_weight
intervention:acarbose,intervention,Acarbose,"Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Top surrogate biomarkers: HbA1c, fasting glucose, fasting insulin, HOMA-IR, triglycerides. Biomarker categories: metabolic, inflammation. Pathways: glucose metabolism, insulin signaling, lipid metabolism, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Metformin, Semaglutide, Empagliflozin.",train,acarbose,1.0
intervention:dasatinib_quercetin,intervention,Dasatinib + Quercetin,"Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Fisetin, Rapamycin, Spermidine.",test,dasatinib_quercetin,1.0
intervention:empagliflozin,intervention,Empagliflozin,"Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Top surrogate biomarkers: HbA1c, fasting glucose, NT-proBNP, fasting insulin, body fat percentage. Biomarker categories: metabolic, cardiovascular, body composition, inflammation. Pathways: glucose metabolism, cardiac stress, insulin signaling, energy balance. Aging hallmarks: deregulated nutrient sensing, altered intercellular communication, inflammaging. Similar interventions: Metformin, Semaglutide, Acarbose.",train,empagliflozin,1.0
intervention:fisetin,intervention,Fisetin,"Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Dasatinib + Quercetin, Resveratrol, Spermidine.",train,fisetin,1.0
intervention:liraglutide,intervention,Liraglutide,"Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Top surrogate biomarkers: HbA1c, fasting glucose, body fat percentage, fasting insulin, triglycerides. Biomarker categories: metabolic, body composition, inflammation. Pathways: glucose metabolism, energy balance, insulin signaling, lipid metabolism. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Semaglutide, Metformin, Empagliflozin.",train,liraglutide,1.0
intervention:metformin,intervention,Metformin,"Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Top surrogate biomarkers: HbA1c, fasting insulin, HOMA-IR, GDF15, CRP. Biomarker categories: metabolic, stress response, inflammation. Pathways: glucose metabolism, insulin signaling, integrated stress response, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, cellular senescence, inflammaging. Similar interventions: Acarbose, Semaglutide, Empagliflozin.",train,metformin,1.0
intervention:nmn,intervention,NMN,"Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, epigenetic clock, fasting insulin. Biomarker categories: mitochondrial, epigenetic aging, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, aging clocks. Aging hallmarks: mitochondrial dysfunction, genomic instability, deregulated nutrient sensing, inflammaging. Similar interventions: Nicotinamide Riboside, Metformin, Spermidine.",val,nmn,1.0
intervention:nicotinamide_riboside,intervention,Nicotinamide Riboside,"Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, fasting insulin, CRP. Biomarker categories: mitochondrial, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, insulin signaling. Aging hallmarks: mitochondrial dysfunction, deregulated nutrient sensing, inflammaging. Similar interventions: NMN, Metformin, Spermidine.",train,nicotinamide_riboside,1.0
intervention:rapamycin,intervention,Rapamycin,"Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Top surrogate biomarkers: IL6, CRP, epigenetic clock, IGF-1, fasting insulin. Biomarker categories: inflammation, epigenetic aging, growth signaling, metabolic. Pathways: cytokine signaling, inflammation signaling, aging clocks, insulin IGF signaling. Aging hallmarks: inflammaging, genomic instability, deregulated nutrient sensing, cellular senescence. Similar interventions: Spermidine, Metformin, NMN.",val,rapamycin,1.0
intervention:resveratrol,intervention,Resveratrol,"Drug intervention: Resveratrol. Mechanism: stress-response signaling and metabolic modulation. Top surrogate biomarkers: CRP, IL6, HOMA-IR, TNF-alpha, fasting glucose. Biomarker categories: inflammation, metabolic. Pathways: inflammation signaling, cytokine signaling, insulin signaling, glucose metabolism. Aging hallmarks: inflammaging, deregulated nutrient sensing. Similar interventions: Fisetin, Metformin, Spermidine.",train,resveratrol,1.0
