triplet_id,split,task_type,anchor_text,positive_id,positive_text,negative_id,negative_text,negative_strategy,target_intervention,target_surrogate
triplet_pair_acarbose_hba1c,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on glucose metabolism and deregulated nutrient sensing.,pair:acarbose_hba1c,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.830. Literature support: 0.790. Reason: Classic downstream surrogate for reduced glucose excursions over time.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Acarbose,HbA1c
triplet_surrogate_acarbose_hba1c,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on glucose metabolism and deregulated nutrient sensing.,surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,Acarbose,HbA1c
triplet_pair_acarbose_fasting_glucose,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on glucose metabolism and deregulated nutrient sensing.,pair:acarbose_fasting_glucose,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.800. Literature support: 0.760. Reason: Direct and interpretable surrogate for improved glycemic exposure.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Acarbose,fasting glucose
triplet_surrogate_acarbose_fasting_glucose,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on glucose metabolism and deregulated nutrient sensing.,surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,Acarbose,fasting glucose
triplet_pair_acarbose_fasting_insulin,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on insulin signaling and deregulated nutrient sensing.,pair:acarbose_fasting_insulin,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.790. Surrogate confidence: 0.760. Literature support: 0.700. Reason: Helps capture downstream reductions in insulin demand.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Acarbose,fasting insulin
triplet_surrogate_acarbose_fasting_insulin,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on insulin signaling and deregulated nutrient sensing.,surrogate:fasting_insulin,"Surrogate biomarker: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,Acarbose,fasting insulin
triplet_pair_acarbose_homa_ir,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on insulin signaling and deregulated nutrient sensing.,pair:acarbose_homa_ir,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HOMA-IR. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.780. Surrogate confidence: 0.750. Literature support: 0.690. Reason: Useful summary surrogate when insulin resistance is part of the trial story.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Acarbose,HOMA-IR
triplet_surrogate_acarbose_homa_ir,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on insulin signaling and deregulated nutrient sensing.,surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,Acarbose,HOMA-IR
triplet_pair_acarbose_triglycerides,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on lipid metabolism and deregulated nutrient sensing.,pair:acarbose_triglycerides,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: triglycerides. Biomarker category: metabolic. Pathway: lipid metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.710. Surrogate confidence: 0.630. Literature support: 0.620. Reason: Cardiometabolic readout that often improves alongside better postprandial control.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Acarbose,triglycerides
triplet_surrogate_acarbose_triglycerides,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on lipid metabolism and deregulated nutrient sensing.,surrogate:triglycerides,"Surrogate biomarker: triglycerides. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Resveratrol.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,Acarbose,triglycerides
