surrogate_id,surrogate,surrogate_category,pathways,hallmarks,linked_interventions,mechanism_hints,mechanism_themes,top_reasons,source_pair_count,mean_evidence_score,mean_surrogate_confidence,mean_literature_support,embedding_text
atp_production,ATP production,mitochondrial,bioenergetics,mitochondrial dysfunction,Nicotinamide Riboside|NMN,NAD+ precursor supporting mitochondrial energetics|NAD+ precursor supporting redox balance and metabolic resilience,NAD+ restoration|mitochondrial bioenergetics,Functional mitochondrial-energy surrogate that strengthens the bioenergetics story.|Supports the mitochondrial-performance narrative in a demo.,2,0.795,0.685,0.64,"Biomarker semantic profile: ATP production. Category: mitochondrial. Pathways: bioenergetics. Aging hallmarks: mitochondrial dysfunction. Mechanism-of-action contexts: NAD+ precursor supporting mitochondrial energetics, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: NAD+ restoration, mitochondrial bioenergetics. Linked drug interventions: Nicotinamide Riboside, NMN. Why informative: Functional mitochondrial-energy surrogate that strengthens the bioenergetics story. Supports the mitochondrial-performance narrative in a demo. Mean evidence score: 0.795. Mean surrogate confidence: 0.685. Mean literature support: 0.640."
crp,CRP,inflammation,inflammation signaling,inflammaging,Rapamycin|Metformin|Resveratrol|Liraglutide|Spermidine|Empagliflozin|Dasatinib + Quercetin|Acarbose,mTOR inhibition and autophagy|AMPK activation and glucose homeostasis|stress-response signaling and metabolic modulation|GLP-1 receptor agonism and metabolic regulation|autophagy induction and cellular maintenance|SGLT2 inhibition and glucosuria-driven metabolic unloading,mTOR inhibition|autophagy induction|AMPK activation|glucose regulation|GLP-1 receptor agonism|SGLT2 inhibition,Accessible systemic inflammation surrogate for rapamycin-like interventions.|Captures the inflammatory spillover often improved when metabolic control improves.|Straightforward inflammation surrogate for stress-response modulation.,10,0.706,0.605,0.617,"Biomarker semantic profile: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, GLP-1 receptor agonism and metabolic regulation, autophagy induction and cellular maintenance, SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: mTOR inhibition, autophagy induction, AMPK activation, glucose regulation, GLP-1 receptor agonism, SGLT2 inhibition. Linked drug interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose. Why informative: Accessible systemic inflammation surrogate for rapamycin-like interventions. Captures the inflammatory spillover often improved when metabolic control improves. Straightforward inflammation surrogate for stress-response modulation. Mean evidence score: 0.706. Mean surrogate confidence: 0.605. Mean literature support: 0.617."
gdf15,GDF15,stress response,integrated stress response,cellular senescence,Metformin|Dasatinib + Quercetin|Fisetin|Rapamycin|Spermidine,AMPK activation and glucose homeostasis|senolytic combination targeting senescent cell survival pathways|senolytic flavonoid with anti-inflammatory and stress-response effects|mTOR inhibition and autophagy|autophagy induction and cellular maintenance,AMPK activation|glucose regulation|senolytic activity|mTOR inhibition|autophagy induction,Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.|Stress and tissue-dysfunction marker useful for translational follow-up.|Stress-response surrogate for systemic adaptation and tissue burden.,5,0.712,0.632,0.606,"Biomarker semantic profile: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, mTOR inhibition and autophagy, autophagy induction and cellular maintenance. Mechanism themes: AMPK activation, glucose regulation, senolytic activity, mTOR inhibition, autophagy induction. Linked drug interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine. Why informative: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response. Stress and tissue-dysfunction marker useful for translational follow-up. Stress-response surrogate for systemic adaptation and tissue burden. Mean evidence score: 0.712. Mean surrogate confidence: 0.632. Mean literature support: 0.606."
homa_ir,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,Metformin|Acarbose|Resveratrol,AMPK activation and glucose homeostasis|postprandial glucose modulation|stress-response signaling and metabolic modulation,AMPK activation|glucose regulation,Composite insulin-resistance surrogate aligned with metabolic flexibility claims.|Useful summary surrogate when insulin resistance is part of the trial story.|Summarizes insulin-resistance shifts in a single surrogate.,3,0.777,0.737,0.693,"Biomarker semantic profile: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, postprandial glucose modulation, stress-response signaling and metabolic modulation. Mechanism themes: AMPK activation, glucose regulation. Linked drug interventions: Metformin, Acarbose, Resveratrol. Why informative: Composite insulin-resistance surrogate aligned with metabolic flexibility claims. Useful summary surrogate when insulin resistance is part of the trial story. Summarizes insulin-resistance shifts in a single surrogate. Mean evidence score: 0.777. Mean surrogate confidence: 0.737. Mean literature support: 0.693."
hba1c,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,Semaglutide|Metformin|Liraglutide|Empagliflozin|Acarbose,GLP-1 receptor agonism and satiety signaling|AMPK activation and glucose homeostasis|GLP-1 receptor agonism and metabolic regulation|SGLT2 inhibition and glucosuria-driven metabolic unloading|postprandial glucose modulation,GLP-1 receptor agonism|satiety signaling|AMPK activation|glucose regulation|SGLT2 inhibition,High-confidence surrogate for metabolic response to GLP-1 receptor agonism.|Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.|Reliable glycemic surrogate with strong translational familiarity.,5,0.88,0.86,0.828,"Biomarker semantic profile: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, AMPK activation and glucose homeostasis, GLP-1 receptor agonism and metabolic regulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, postprandial glucose modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, AMPK activation, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose. Why informative: High-confidence surrogate for metabolic response to GLP-1 receptor agonism. Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions. Reliable glycemic surrogate with strong translational familiarity. Mean evidence score: 0.880. Mean surrogate confidence: 0.860. Mean literature support: 0.828."
igf_1,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,Rapamycin,mTOR inhibition and autophagy,mTOR inhibition|autophagy induction,Nutrient-sensing related biomarker consistent with upstream pathway modulation.,1,0.74,0.68,0.66,"Biomarker semantic profile: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: mTOR inhibition and autophagy. Mechanism themes: mTOR inhibition, autophagy induction. Linked drug interventions: Rapamycin. Why informative: Nutrient-sensing related biomarker consistent with upstream pathway modulation. Mean evidence score: 0.740. Mean surrogate confidence: 0.680. Mean literature support: 0.660."
il6,IL6,inflammation,cytokine signaling,inflammaging,Rapamycin|Dasatinib + Quercetin|Fisetin|Metformin|Resveratrol|Spermidine|Nicotinamide Riboside,mTOR inhibition and autophagy|senolytic combination targeting senescent cell survival pathways|senolytic flavonoid with anti-inflammatory and stress-response effects|AMPK activation and glucose homeostasis|stress-response signaling and metabolic modulation|autophagy induction and cellular maintenance,mTOR inhibition|autophagy induction|senolytic activity|AMPK activation|glucose regulation,Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.|Inflammatory cytokine linked to SASP and inflammaging.|Inflammaging-linked cytokine with strong demo interpretability.,7,0.734,0.637,0.65,"Biomarker semantic profile: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, autophagy induction and cellular maintenance. Mechanism themes: mTOR inhibition, autophagy induction, senolytic activity, AMPK activation, glucose regulation. Linked drug interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside. Why informative: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition. Inflammatory cytokine linked to SASP and inflammaging. Inflammaging-linked cytokine with strong demo interpretability. Mean evidence score: 0.734. Mean surrogate confidence: 0.637. Mean literature support: 0.650."
ldl_c,LDL-C,metabolic,lipid metabolism,deregulated nutrient sensing,Semaglutide,GLP-1 receptor agonism and satiety signaling,GLP-1 receptor agonism|satiety signaling,Relevant when positioning semaglutide-like compounds in cardiometabolic aging.,1,0.73,0.63,0.67,"Biomarker semantic profile: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling. Mechanism themes: GLP-1 receptor agonism, satiety signaling. Linked drug interventions: Semaglutide. Why informative: Relevant when positioning semaglutide-like compounds in cardiometabolic aging. Mean evidence score: 0.730. Mean surrogate confidence: 0.630. Mean literature support: 0.670."
nad_nadh_ratio,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,Nicotinamide Riboside|NMN,NAD+ precursor supporting mitochondrial energetics|NAD+ precursor supporting redox balance and metabolic resilience,NAD+ restoration|mitochondrial bioenergetics,Closest mechanistic surrogate to the intended NAD-boosting effect.|Primary surrogate for confirming on-target NAD restoration.,2,0.885,0.805,0.76,"Biomarker semantic profile: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Mechanism-of-action contexts: NAD+ precursor supporting mitochondrial energetics, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: NAD+ restoration, mitochondrial bioenergetics. Linked drug interventions: Nicotinamide Riboside, NMN. Why informative: Closest mechanistic surrogate to the intended NAD-boosting effect. Primary surrogate for confirming on-target NAD restoration. Mean evidence score: 0.885. Mean surrogate confidence: 0.805. Mean literature support: 0.760."
nt_probnp,NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,SGLT2 inhibition,Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction.,1,0.8,0.73,0.71,Biomarker semantic profile: NT-proBNP. Category: cardiovascular. Pathways: cardiac stress. Aging hallmarks: altered intercellular communication. Mechanism-of-action contexts: SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: SGLT2 inhibition. Linked drug interventions: Empagliflozin. Why informative: Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction. Mean evidence score: 0.800. Mean surrogate confidence: 0.730. Mean literature support: 0.710.
