query_id,split,source,query_type,primary_intervention,expected_interventions,expected_pair_ids,expected_surrogates,story,query_text
query_acarbose_mechanism_prompt,train,templated,mechanism_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Recommend biomarkers for a compound similar to Acarbose.,Acarbose-like drug with postprandial glucose modulation. Which surrogate biomarkers should I track in a short aging trial?
query_acarbose_biology_prompt,train,templated,biology_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Biology-driven retrieval prompt for Acarbose.,"Need surrogate endpoints for a drug targeting glucose metabolism, insulin signaling and deregulated nutrient sensing, inflammaging."
query_acarbose_trial_prompt,train,templated,trial_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Trial-design prompt for Acarbose.,"Short clinical trial for Acarbose. Prioritize biomarkers such as HbA1c, fasting glucose, fasting insulin or similar alternatives."
query_dasatinib_quercetin_mechanism_prompt,test,templated,mechanism_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Recommend biomarkers for a compound similar to Dasatinib + Quercetin.,Dasatinib + Quercetin-like drug with senolytic combination targeting senescent cell survival pathways. Which surrogate biomarkers should I track in a short aging trial?
query_dasatinib_quercetin_biology_prompt,test,templated,biology_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Biology-driven retrieval prompt for Dasatinib + Quercetin.,"Need surrogate endpoints for a drug targeting secretory phenotype, cell cycle arrest and cellular senescence, inflammaging."
query_dasatinib_quercetin_trial_prompt,test,templated,trial_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Trial-design prompt for Dasatinib + Quercetin.,"Short clinical trial for Dasatinib + Quercetin. Prioritize biomarkers such as SASP panel, p16INK4a expression, IL6 or similar alternatives."
query_empagliflozin_mechanism_prompt,train,templated,mechanism_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Recommend biomarkers for a compound similar to Empagliflozin.,Empagliflozin-like drug with SGLT2 inhibition and glucosuria-driven metabolic unloading. Which surrogate biomarkers should I track in a short aging trial?
query_empagliflozin_biology_prompt,train,templated,biology_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Biology-driven retrieval prompt for Empagliflozin.,"Need surrogate endpoints for a drug targeting glucose metabolism, cardiac stress and deregulated nutrient sensing, altered intercellular communication."
query_empagliflozin_trial_prompt,train,templated,trial_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Trial-design prompt for Empagliflozin.,"Short clinical trial for Empagliflozin. Prioritize biomarkers such as HbA1c, fasting glucose, NT-proBNP or similar alternatives."
query_fisetin_mechanism_prompt,train,templated,mechanism_prompt,Fisetin,Fisetin,fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,Recommend biomarkers for a compound similar to Fisetin.,Fisetin-like drug with senolytic flavonoid with anti-inflammatory and stress-response effects. Which surrogate biomarkers should I track in a short aging trial?
