pair_id,intervention_id,surrogate_id,split,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,evidence_score,surrogate_confidence,literature_support,article_count,similar_interventions,recommendation_reason,embedding_text
acarbose_hba1c,acarbose,hba1c,train,Acarbose,postprandial glucose modulation,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,0.86,0.83,0.79,6,Metformin|Semaglutide|Empagliflozin,Classic downstream surrogate for reduced glucose excursions over time.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.830. Literature support: 0.790. Reason: Classic downstream surrogate for reduced glucose excursions over time.
acarbose_fasting_glucose,acarbose,fasting_glucose,train,Acarbose,postprandial glucose modulation,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,0.84,0.8,0.76,6,Metformin|Semaglutide|Empagliflozin,Direct and interpretable surrogate for improved glycemic exposure.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.800. Literature support: 0.760. Reason: Direct and interpretable surrogate for improved glycemic exposure.
acarbose_fasting_insulin,acarbose,fasting_insulin,train,Acarbose,postprandial glucose modulation,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,0.79,0.76,0.7,5,Metformin|Semaglutide|Empagliflozin,Helps capture downstream reductions in insulin demand.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.790. Surrogate confidence: 0.760. Literature support: 0.700. Reason: Helps capture downstream reductions in insulin demand.
acarbose_homa_ir,acarbose,homa_ir,train,Acarbose,postprandial glucose modulation,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,0.78,0.75,0.69,5,Metformin|Semaglutide|Empagliflozin,Useful summary surrogate when insulin resistance is part of the trial story.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HOMA-IR. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.780. Surrogate confidence: 0.750. Literature support: 0.690. Reason: Useful summary surrogate when insulin resistance is part of the trial story.
acarbose_triglycerides,acarbose,triglycerides,train,Acarbose,postprandial glucose modulation,triglycerides,metabolic,lipid metabolism,deregulated nutrient sensing,0.71,0.63,0.62,4,Metformin|Semaglutide|Empagliflozin,Cardiometabolic readout that often improves alongside better postprandial control.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: triglycerides. Biomarker category: metabolic. Pathway: lipid metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.710. Surrogate confidence: 0.630. Literature support: 0.620. Reason: Cardiometabolic readout that often improves alongside better postprandial control.
acarbose_crp,acarbose,crp,train,Acarbose,postprandial glucose modulation,CRP,inflammation,inflammation signaling,inflammaging,0.67,0.58,0.56,3,Metformin|Semaglutide|Empagliflozin,Secondary inflammation surrogate when metabolic improvement reduces low-grade inflammation.,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.670. Surrogate confidence: 0.580. Literature support: 0.560. Reason: Secondary inflammation surrogate when metabolic improvement reduces low-grade inflammation.
dasatinib_quercetin_sasp_panel,dasatinib_quercetin,sasp_panel,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,SASP panel,senescence,secretory phenotype,cellular senescence,0.9,0.84,0.79,6,Fisetin|Rapamycin|Spermidine,Best match when the intervention claim is senolysis and reduced secretory phenotype.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.
dasatinib_quercetin_p16ink4a_expression,dasatinib_quercetin,p16ink4a_expression,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,0.88,0.85,0.76,5,Fisetin|Rapamycin|Spermidine,Mechanistically close surrogate for senescent cell burden reduction.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: p16INK4a expression. Biomarker category: senescence. Pathway: cell cycle arrest. Aging hallmark: cellular senescence. Evidence score: 0.880. Surrogate confidence: 0.850. Literature support: 0.760. Reason: Mechanistically close surrogate for senescent cell burden reduction.
dasatinib_quercetin_il6,dasatinib_quercetin,il6,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,IL6,inflammation,cytokine signaling,inflammaging,0.8,0.7,0.72,5,Fisetin|Rapamycin|Spermidine,Inflammatory cytokine linked to SASP and inflammaging.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.800. Surrogate confidence: 0.700. Literature support: 0.720. Reason: Inflammatory cytokine linked to SASP and inflammaging.
dasatinib_quercetin_tnf_alpha,dasatinib_quercetin,tnf_alpha,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,TNF-alpha,inflammation,cytokine signaling,inflammaging,0.76,0.66,0.68,4,Fisetin|Rapamycin|Spermidine,Supports the anti-inflammatory senescence-clearance story.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: TNF-alpha. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.760. Surrogate confidence: 0.660. Literature support: 0.680. Reason: Supports the anti-inflammatory senescence-clearance story.
dasatinib_quercetin_gdf15,dasatinib_quercetin,gdf15,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,GDF15,stress response,integrated stress response,cellular senescence,0.73,0.64,0.61,4,Fisetin|Rapamycin|Spermidine,Stress and tissue-dysfunction marker useful for translational follow-up.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.730. Surrogate confidence: 0.640. Literature support: 0.610. Reason: Stress and tissue-dysfunction marker useful for translational follow-up.
dasatinib_quercetin_crp,dasatinib_quercetin,crp,test,Dasatinib + Quercetin,senolytic combination targeting senescent cell survival pathways,CRP,inflammation,inflammation signaling,inflammaging,0.69,0.58,0.57,3,Fisetin|Rapamycin|Spermidine,Easy-to-explain systemic inflammation surrogate for demos.,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.690. Surrogate confidence: 0.580. Literature support: 0.570. Reason: Easy-to-explain systemic inflammation surrogate for demos.
