pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,evidence_score,surrogate_confidence,literature_support,article_count,supporting_pmids,sample_titles,sample_snippet
acarbose_homa_ir,Acarbose,postprandial glucose modulation,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,0.555,0.776,0.315,1,38972164,Effectiveness of dual combination therapy of acarbose plus metformin and acarbose plus myo-inositol in ameliorating the metabolic and endocrinologic complications of polycystic ovary syndrome - A randomized controlled trial.,"the end of 6 months. RESULTS: Significant reduction of LH, LH: FSH, TT, HOMA-IR was observed in all the groups. FSH increased only in metformin group. Increase in serum progesterone and red"
acarbose_mcp_1,Acarbose,postprandial glucose modulation,MCP-1,inflammation,chemokine signaling,inflammaging,intervention_to_surrogate,0.485,0.64,0.315,1,37960259,"Pentadecanoic Acid (C15:0), an Essential Fatty Acid, Shares Clinically Relevant Cell-Based Activities with Leading Longevity-Enhancing Compounds.","ities across 10 cell systems, including anti-inflammatory (e.g., lowered MCP-1, TNFα, IL-10, IL-17A/F), antifibrotic, and anticancer activities, which are further supported by previously p"
acarbose_sasp_panel,Acarbose,postprandial glucose modulation,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.485,0.68,0.315,1,41344575,Progress in anti-ageing drug research for age-related diseases: A review.,"Progress in anti-ageing drug research for age-related diseases: A review.. This review explores the anti-ageing potential of nine repurposed drugs: aspirin, atorvastatin, enalapril, metformin, canagliflozin, liraglutide,"
acarbose_nad_nadh_ratio,Acarbose,postprandial glucose modulation,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.415,0.504,0.315,1,32467649,The quest to slow ageing through drug discovery.,"The quest to slow ageing through drug discovery.. Although death is inevitable, individuals have long sought to alter the course of the ageing process. Indeed, ageing has proved to be modifiable; by intervening in biolog"
acarbose_hba1c,Acarbose,postprandial glucose modulation,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.345,0.656,0.315,1,10400405,Rosiglitazone.,"own by decreases in fasting plasma glucose and glycosylated haemoglobin (HbA1c). Addition of rosiglitazone 2 to 8 mg/day to existing sulphonylurea, metformin or insulin therapy achieved fu"
acarbose_fasting_glucose,Acarbose,postprandial glucose modulation,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.345,0.656,0.315,1,10400405,Rosiglitazone.,"Rosiglitazone.. Rosiglitazone, a thiazolidinedione antidiabetic agent, improves insulin resistance, a key underlying metabolic abnormality in most patients with type 2 (non-insulin-dependent) diabetes mellitus. In animal"
betulinic_acid_igf_1,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,0.52,0.544,0.315,1,35967806,Betulinic acid increases lifespan and stress resistance via insulin/IGF-1 signaling pathway in Caenorhabditis elegans.,"Betulinic acid increases lifespan and stress resistance via insulin/IGF-1 signaling pathway in Caenorhabditis elegans.. Numerous studies reported that betulinic acid (BA), a natural p"
betulinic_acid_tnf_alpha,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",TNF-alpha,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,0.415,0.56,0.315,1,37571393,Underlying Mechanisms of Brain Aging and Neurodegenerative Diseases as Potential Targets for Preventive or Therapeutic Strategies Using Phytochemicals.,"Underlying Mechanisms of Brain Aging and Neurodegenerative Diseases as Potential Targets for Preventive or Therapeutic Strategies Using Phytochemicals.. During aging, several tissues and biological systems undergo a prog"
betulinic_acid_ddc,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",DDC,neurodegeneration,neurotransmitter metabolism,loss of proteostasis,intervention_to_surrogate,0.275,0.4,0.315,1,11562282,New developments in anti-HIV chemotherapy.,"hibitors (NRTIs): i.e., zidovudine (AZT), didanosine (ddI), zalcitabine (ddC), stavudine (d4T), lamivudine (3TC), abacavir (ABC), emtricitabine [(-)FTC], tenofovir (PMPA) disoproxil fuma"
bleomycin_pten,Bleomycin,DNA-damaging antitumor agent used experimentally to induce pulmonary fibrosis and senescence-associated tissue injury,PTEN,oncology,PI3K AKT mTOR signaling,genomic instability,intervention_to_surrogate,0.567,0.48,0.5,2,30548445;39096545,Loss of PTEN induces lung fibrosis via alveolar epithelial cell senescence depending on NF-κB activation. | Curcumin analogue EF24 prevents alveolar epithelial cell senescence to ameliorate idiopathic pulmonary fibrosis via activation of PTEN.,Loss of PTEN induces lung fibrosis via alveolar epithelial cell senescence depending on NF-κB activation.. Idiopathic pulm
