example_id,split,query_text,candidate_id,candidate_text,candidate_type,label,target_intervention,target_surrogate,negative_strategy
example_pos_acarbose_hba1c,train,Acarbose-like intervention targeting postprandial glucose modulation. Would HbA1c be a good surrogate endpoint?,pair:acarbose_hba1c,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.830. Literature support: 0.790. Reason: Classic downstream surrogate for reduced glucose excursions over time.,pair,1,Acarbose,HbA1c,
example_neg_acarbose_hba1c,train,Acarbose-like intervention targeting postprandial glucose modulation. Would HbA1c be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Acarbose,HbA1c,same_category
example_pos_acarbose_fasting_glucose,train,Acarbose-like intervention targeting postprandial glucose modulation. Would fasting glucose be a good surrogate endpoint?,pair:acarbose_fasting_glucose,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.800. Literature support: 0.760. Reason: Direct and interpretable surrogate for improved glycemic exposure.,pair,1,Acarbose,fasting glucose,
example_neg_acarbose_fasting_glucose,train,Acarbose-like intervention targeting postprandial glucose modulation. Would fasting glucose be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Acarbose,fasting glucose,same_category
example_pos_acarbose_fasting_insulin,train,Acarbose-like intervention targeting postprandial glucose modulation. Would fasting insulin be a good surrogate endpoint?,pair:acarbose_fasting_insulin,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.790. Surrogate confidence: 0.760. Literature support: 0.700. Reason: Helps capture downstream reductions in insulin demand.,pair,1,Acarbose,fasting insulin,
example_neg_acarbose_fasting_insulin,train,Acarbose-like intervention targeting postprandial glucose modulation. Would fasting insulin be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Acarbose,fasting insulin,same_category
example_pos_acarbose_homa_ir,train,Acarbose-like intervention targeting postprandial glucose modulation. Would HOMA-IR be a good surrogate endpoint?,pair:acarbose_homa_ir,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: HOMA-IR. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.780. Surrogate confidence: 0.750. Literature support: 0.690. Reason: Useful summary surrogate when insulin resistance is part of the trial story.,pair,1,Acarbose,HOMA-IR,
example_neg_acarbose_homa_ir,train,Acarbose-like intervention targeting postprandial glucose modulation. Would HOMA-IR be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Acarbose,HOMA-IR,same_category
example_pos_acarbose_triglycerides,train,Acarbose-like intervention targeting postprandial glucose modulation. Would triglycerides be a good surrogate endpoint?,pair:acarbose_triglycerides,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: triglycerides. Biomarker category: metabolic. Pathway: lipid metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.710. Surrogate confidence: 0.630. Literature support: 0.620. Reason: Cardiometabolic readout that often improves alongside better postprandial control.,pair,1,Acarbose,triglycerides,
example_neg_acarbose_triglycerides,train,Acarbose-like intervention targeting postprandial glucose modulation. Would triglycerides be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Acarbose,triglycerides,same_category
example_pos_acarbose_crp,train,Acarbose-like intervention targeting postprandial glucose modulation. Would CRP be a good surrogate endpoint?,pair:acarbose_crp,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.670. Surrogate confidence: 0.580. Literature support: 0.560. Reason: Secondary inflammation surrogate when metabolic improvement reduces low-grade inflammation.,pair,1,Acarbose,CRP,
example_neg_acarbose_crp,train,Acarbose-like intervention targeting postprandial glucose modulation. Would CRP be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Acarbose,CRP,same_category
example_pos_dasatinib_quercetin_sasp_panel,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would SASP panel be a good surrogate endpoint?,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,pair,1,Dasatinib + Quercetin,SASP panel,
example_neg_dasatinib_quercetin_sasp_panel,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would SASP panel be a good surrogate endpoint?,pair:fisetin_sasp_panel,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,pair,0,Dasatinib + Quercetin,SASP panel,same_category
example_pos_dasatinib_quercetin_p16ink4a_expression,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would p16INK4a expression be a good surrogate endpoint?,pair:dasatinib_quercetin_p16ink4a_expression,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: p16INK4a expression. Biomarker category: senescence. Pathway: cell cycle arrest. Aging hallmark: cellular senescence. Evidence score: 0.880. Surrogate confidence: 0.850. Literature support: 0.760. Reason: Mechanistically close surrogate for senescent cell burden reduction.,pair,1,Dasatinib + Quercetin,p16INK4a expression,
example_neg_dasatinib_quercetin_p16ink4a_expression,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would p16INK4a expression be a good surrogate endpoint?,pair:fisetin_sasp_panel,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,pair,0,Dasatinib + Quercetin,p16INK4a expression,same_category
example_pos_dasatinib_quercetin_il6,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would IL6 be a good surrogate endpoint?,pair:dasatinib_quercetin_il6,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.800. Surrogate confidence: 0.700. Literature support: 0.720. Reason: Inflammatory cytokine linked to SASP and inflammaging.,pair,1,Dasatinib + Quercetin,IL6,
example_neg_dasatinib_quercetin_il6,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would IL6 be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Dasatinib + Quercetin,IL6,same_category
example_pos_dasatinib_quercetin_tnf_alpha,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would TNF-alpha be a good surrogate endpoint?,pair:dasatinib_quercetin_tnf_alpha,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: TNF-alpha. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.760. Surrogate confidence: 0.660. Literature support: 0.680. Reason: Supports the anti-inflammatory senescence-clearance story.,pair,1,Dasatinib + Quercetin,TNF-alpha,
example_neg_dasatinib_quercetin_tnf_alpha,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would TNF-alpha be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Dasatinib + Quercetin,TNF-alpha,same_category
example_pos_dasatinib_quercetin_gdf15,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would GDF15 be a good surrogate endpoint?,pair:dasatinib_quercetin_gdf15,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.730. Surrogate confidence: 0.640. Literature support: 0.610. Reason: Stress and tissue-dysfunction marker useful for translational follow-up.,pair,1,Dasatinib + Quercetin,GDF15,
